Project_Name,Sample_Name,Sample_ID,Extracted_DNA_ng/ul,PCR_Run_ID,DNA_plate_ID,DNA_Well_Position,"ul extracted DNA in PCR",Dilution_from_Original,PCR_Well_Position,ngDNA_PCR,Polymerase,DNA_index_ID_forward,DNA_index_ID_reverse,PCR_Notes,PCR_concentration,Sequenced?,Sequencing_Run_ID,SummedReads
LISS,ST007M,ST007M,8.5,RID001390,LISSplate2,C03,4,1,D07,34,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA707,,0,yes,SID2413,10141
LISS,ST007M,ST007M,8.5,RID001409,LISSplate2,C03,6,1,B02,51,"GoTaq Polymerase",EMP.v4.SB502,EMP.v4.SB709,,0,yes,SID2421,10141
LISS,ST008M,ST008M,45.1,RID001390,LISSplate2,C04,1,1,H07,45.1,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA707,,0.36,yes,SID2413,88997
LISS,ST009M,ST009M,60.2,RID001390,LISSplate2,C05,1,1,D08,60.2,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA708,,0.1,yes,SID2413,20564
LISS,ST010M,ST010M,47.5,RID001390,LISSplate2,C06,1,1,H08,47.5,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA708,,0,yes,SID2413,12113
LISS,ST010M,ST010M,47.5,RID001390,LISSplate2,C06,1,1,H08,47.5,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA708,,0,yes,SID2419,12113
LISS,ST011M,ST011M,52.2,RID001390,LISSplate2,C07,1,1,C09,52.2,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA709,,0,yes,SID2413,25326
LISS,ST012M,ST012M,49.1,RID001390,LISSplate2,C08,1,1,F09,49.1,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA709,,0,yes,SID2413,12754
LISS,ST012M,ST012M,49.1,RID001390,LISSplate2,C08,1,1,F09,49.1,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA709,,0,yes,SID2419,12754
LISS,ST013M,ST013M,31.7,RID001390,LISSplate2,C09,1,1,A10,31.7,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA710,,0.21,yes,SID2413,12820
LISS,ST014M,ST014M,43,RID001390,LISSplate2,C10,1,1,D10,43,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA710,,0.41,yes,SID2413,57061
LISS,ST015M,ST015M,10.9,RID001390,LISSplate2,C11,3,1,G10,32.7,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA710,,0,yes,SID2413,6915
LISS,ST015M,ST015M,10.9,RID001390,LISSplate2,C11,3,1,G10,32.7,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA710,,0,yes,SID2419,6915
LISS,ST015M,ST015M,10.9,RID001409,LISSplate2,C11,6,1,C02,65.4,"GoTaq Polymerase",EMP.v4.SB503,EMP.v4.SB709,,0,yes,SID2421,6915
LISS,ST016M,ST016M,9.6,RID001390,LISSplate2,C12,3,1,B11,28.8,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA711,,0,yes,SID2419,14156
LISS,ST016M,ST016M,9.6,RID001390,LISSplate2,C12,3,1,B11,28.8,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA711,,0,yes,SID2413,14156
LISS,ST017M,ST017M,37.7,RID001390,LISSplate2,D01,1,1,E06,37.7,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA706,,0,yes,SID2413,11177
LISS,ST017M,ST017M,37.7,RID001390,LISSplate2,D01,1,1,E06,37.7,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA706,,0,yes,SID2419,11177
LISS,ST018M,ST018M,35.6,RID001390,LISSplate2,D02,1,1,A07,35.6,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA707,,0,yes,SID2413,13782
LISS,ST019M,ST019M,48.7,RID001390,LISSplate2,D03,1,1,E07,48.7,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA707,,0,yes,SID2413,15467
LISS,ST019M,ST019M,48.7,RID001390,LISSplate2,D03,1,1,E07,48.7,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA707,,0,yes,SID2419,15467
LISS,ST020M,ST020M,6.1,RID001390,LISSplate2,D04,5,1,A08,30.5,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA708,,0,yes,SID2413,13
LISS,ST020M,ST020M,6.1,RID001390,LISSplate2,D04,5,1,A08,30.5,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA708,,0,yes,SID2419,13
LISS,ST020M,ST020M,6.1,RID001409,LISSplate2,D04,6,1,D02,36.6,"GoTaq Polymerase",EMP.v4.SB504,EMP.v4.SB709,,0.01,yes,SID2421,13
LISS,WH001M,WH001M,47.9,RID001390,LISSplate1,A01,1,1,A01,47.9,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA701,,0,yes,SID2413,47036
LISS,WH002M,WH002M,29.6,RID001390,LISSplate1,A02,1,1,E01,29.6,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA701,,0.29,yes,SID2413,107302
LISS,WH003M,WH003M,0.3,RID001390,LISSplate1,A03,6,1,A02,1.8,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA702,,0,yes,SID2413,16774
LISS,WH004M,WH004M,35.3,RID001390,LISSplate1,A04,1,1,E02,35.3,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA702,,0.18,yes,SID2413,102577
LISS,WH005M,WH005M,51.9,RID001390,LISSplate1,A05,1,1,A03,51.9,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA703,,0,yes,SID2413,15436
LISS,WH006M,WH006M,44.1,RID001390,LISSplate1,A06,1,1,E03,44.1,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA703,,0,yes,SID2413,22552
LISS,WH007M,WH007M,60.4,RID001390,LISSplate1,A07,1,1,H03,60.4,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA703,,0,yes,SID2413,17038
LISS,WH008M,WH008M,13.5,RID001390,LISSplate1,A08,2,1,C04,27,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA704,,0.18,yes,SID2413,68000
LISS,WH009M,WH009M,20.2,RID001390,LISSplate1,A09,2,1,F04,40.4,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA704,,0,yes,SID2413,9978
LISS,WH009M,WH009M,20.2,RID001390,LISSplate1,A09,2,1,F04,40.4,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA704,,0,yes,SID2419,9978
LISS,WH009M,WH009M,20.2,RID001409,LISSplate1,A09,6,1,A01,121.2,"GoTaq Polymerase",EMP.v4.SB501,EMP.v4.SB708,,0.04,yes,SID2421,9978
LISS,WH010M,WH010M,26.3,RID001390,LISSplate1,A10,1,1,A05,26.3,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA705,,0.04,yes,SID2413,16188
LISS,WH011M,WH011M,0.2,RID001390,LISSplate1,A11,6,1,D05,1.2,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA705,,0,yes,SID2413,26954
LISS,WH012M,WH012M,12.6,RID001390,LISSplate1,A12,2,1,G05,25.2,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA705,,0,yes,SID2413,58195
